feature,importance
num__credit_amount,500.0
num__age_years,319.0
num__duration_months,225.0
num__installment_rate_pct_income,122.0
num__present_residence_since,69.0
cat__credit_history_A34,65.0
cat__status_checking_account_A14,62.0
cat__purpose_A41,53.0
cat__savings_account_bonds_A61,52.0
cat__telephone_A191,48.0
cat__status_checking_account_A11,47.0
cat__personal_status_and_sex_A93,46.0
cat__credit_history_A32,46.0
cat__property_A121,42.0
cat__property_A124,38.0
cat__present_employment_since_A74,34.0
cat__purpose_A43,33.0
cat__present_employment_since_A72,29.0
num__existing_credits_count,29.0
cat__job_A173,28.0
cat__other_installment_plans_A141,28.0
cat__personal_status_and_sex_A92,26.0
cat__property_A123,24.0
cat__status_checking_account_A12,23.0
cat__other_installment_plans_A143,23.0
cat__purpose_A40,22.0
cat__present_employment_since_A75,21.0
cat__savings_account_bonds_A62,20.0
num__people_liable_count,20.0
cat__housing_A151,20.0
cat__job_A172,19.0
cat__present_employment_since_A73,17.0
cat__savings_account_bonds_A65,14.0
cat__job_A174,14.0
cat__housing_A152,12.0
cat__credit_history_A33,12.0
cat__status_checking_account_A13,11.0
cat__housing_A153,9.0
cat__purpose_A42,9.0
cat__property_A122,7.0
cat__purpose_A49,6.0
cat__personal_status_and_sex_A94,2.0
cat__telephone_A192,1.0
cat__credit_history_A30,0.0
cat__credit_history_A31,0.0
cat__savings_account_bonds_A63,0.0
cat__purpose_A45,0.0
cat__purpose_A46,0.0
cat__purpose_A48,0.0
cat__purpose_A44,0.0
cat__purpose_A410,0.0
cat__present_employment_since_A71,0.0
cat__savings_account_bonds_A64,0.0
cat__other_debtors_guarantors_A102,0.0
cat__other_debtors_guarantors_A103,0.0
cat__other_debtors_guarantors_A101,0.0
cat__personal_status_and_sex_A91,0.0
cat__other_installment_plans_A142,0.0
cat__job_A171,0.0
cat__foreign_worker_A201,0.0
cat__foreign_worker_A202,0.0
